"department","total_count","terminated_count","termination_rate"
"Auditing","50","8","0.2"
"Training","1622","194","0.1"
"Business Development","1569","149","0.1"
"Product Management","623","68","0.1"
"Research and Development","1032","122","0.1"
"Sales","1745","197","0.1"
"Support","903","96","0.1"
"Legal","299","39","0.1"
"Accounting","3192","362","0.1"
"Human Resources","1727","199","0.1"
"Services","1618","175","0.1"
"Marketing","480","45","0.1"
"Engineering","6387","714","0.1"
